ReviewID,ReviewTime,Review
5.86267e+17,Thu Apr 09 20:37:18 +0000 2015,tougher vaccine law calif clear first hurdle
5.8626e+17,Thu Apr 09 20:11:29 +0000 2015,new sort extracurricular activity seeing patient
5.86239e+17,Thu Apr 09 18:46:24 +0000 2015,houston firefighter another tool disposal answering call digital doctor
5.86182e+17,Thu Apr 09 15:00:25 +0000 2015,montana expand medicaid program moderate revived idea
5.86159e+17,Thu Apr 09 13:30:44 +0000 2015,rand paul campaign first day abortion budget
5.86159e+17,Thu Apr 09 13:29:47 +0000 2015,enroll america
5.85917e+17,Wed Apr 08 21:28:45 +0000 2015,rt lvgillespie ever look health symptom computer retired nlm_news director led charge
5.85879e+17,Wed Apr 08 18:55:40 +0000 2015,patch job obamacare umaag1ex jpg
5.85878e+17,Wed Apr 08 18:54:17 +0000 2015,still getting tax done 2014 tax bill could affected insurance 3ie
5.85851e+17,Wed Apr 08 17:05:36 +0000 2015,medicine use computer probably man thank lvgillespie report
5.85841e+17,Wed Apr 08 16:26:24 +0000 2015,rt cnnhealth two doctor fight choice die via khnews
5.85486e+17,Tue Apr 07 16:53:38 +0000 2015,rt drshow evidence support annual physicals
5.85477e+17,Tue Apr 07 16:18:52 +0000 2015,still getting tax done 2014 tax bill could affected insurance watch video tax deadline meet health law f5 jpg
5.85455e+17,Tue Apr 07 14:50:12 +0000 2015,rule proposed providing mental health parity medicaid program proposed providing mental health parity medicaid program
5.85141e+17,Mon Apr 06 18:04:24 +0000 2015,battle mental health parity produce mixed result mental health parity produce mixed result
5.8513e+17,Mon Apr 06 17:19:44 +0000 2015,high deductible health plan ruin finance deductible health plan ruin finance
5.85113e+17,Mon Apr 06 16:13:15 +0000 2015,rt jennyagold maybe skip annual physical nprnews khnews skip annual physical
5.85093e+17,Mon Apr 06 14:53:36 +0000 2015,billionaire harness money
5.85083e+17,Mon Apr 06 14:13:33 +0000 2015,ritual
