ReviewID,ReviewTime,Review
5.86283e+17,Thu Apr 09 21:40:16 +0000 2015,los angeles close 500 medical marijuana shop
5.86279e+17,Thu Apr 09 21:24:27 +0000 2015,u cut poultry export forecast deadly bird flu spread
5.86273e+17,Thu Apr 09 21:04:15 +0000 2015,fear roundup herbicide residue prompt private testing
5.86255e+17,Thu Apr 09 19:49:50 +0000 2015,liberia watchdog say ebola fund unaccounted
5.86244e+17,Thu Apr 09 19:07:10 +0000 2015,diabetes device may interfere avalanche beacon signal
5.86242e+17,Thu Apr 09 18:58:12 +0000 2015,three texas infected listeria tainted ice cream cdc
5.86228e+17,Thu Apr 09 18:01:58 +0000 2015,mediterranean rescuer quest seaborne migrant chef
5.86212e+17,Thu Apr 09 17:00:56 +0000 2015,fidelity ceo tap personal fortune bet cancer related ipo
5.86204e+17,Thu Apr 09 16:27:23 +0000 2015,mexico report bird flu outbreak puebla oaxaca state
5.86199e+17,Thu Apr 09 16:09:08 +0000 2015,special flooring reduce fall injury elderly
5.86199e+17,Thu Apr 09 16:09:08 +0000 2015,surgeon say fix
5.86149e+17,Thu Apr 09 12:51:04 +0000 2015,detecting diabetes child symptom appear
5.86143e+17,Thu Apr 09 12:26:17 +0000 2015,niger isolates suspected bird flu farm region take precaution
5.86047e+17,Thu Apr 09 06:03:35 +0000 2015,sabra dipping co recall 30
5.86035e+17,Thu Apr 09 05:16:24 +0000 2015,california bill banning child vaccine exemption move ahead
5.85956e+17,Thu Apr 09 00:01:17 +0000 2015,u bird flu outbreak accelerates wild duck migrate north
5.85956e+17,Thu Apr 09 00:01:17 +0000 2015,u appeal court deal setback florida tobacco plaintiff
5.85948e+17,Wed Apr 08 23:29:40 +0000 2015,oklahoma set join kansa banning flashpoint abortion procedure
5.85931e+17,Wed Apr 08 22:22:13 +0000 2015,memory may suffer mother caring disabled child
5.8591e+17,Wed Apr 08 21:01:12 +0000 2015,celladon report result gene therapy heart failure ceo
5.85906e+17,Wed Apr 08 20:45:22 +0000 2015,midlife art
5.85906e+17,Wed Apr 08 20:45:22 +0000 2015,canada bird flu virus ontario highly pathogenic strain
5.85896e+17,Wed Apr 08 20:05:10 +0000 2015,common painkiller may ease lower back pain osteoarthritis
5.85896e+17,Wed Apr 08 20:05:09 +0000 2015,30 new ebola case
5.8588e+17,Wed Apr 08 19:01:53 +0000 2015,fatal crash involving teen driver decline sharply u
5.85876e+17,Wed Apr 08 18:46:07 +0000 2015,injury prevention program unpopular high school coach
5.85812e+17,Wed Apr 08 14:31:44 +0000 2015,uk biotech silence therapeutic raise 58 million rna drive
5.85752e+17,Wed Apr 08 10:33:03 +0000 2015,chinese citizen sue government transparency monsanto herbicide
5.85593e+17,Wed Apr 08 00:00:39 +0000 2015,kansa becomes first state ban second trimester abortion procedure
5.85577e+17,Tue Apr 07 22:57:24 +0000 2015,kid may likely use customized playground
5.85566e+17,Tue Apr 07 22:12:22 +0000 2015,minnesota bird flu case rise u investigator arrive
5.85557e+17,Tue Apr 07 21:36:34 +0000 2015,higher purpose life tied better brain health
5.85549e+17,Tue Apr 07 21:04:53 +0000 2015,taiwan
5.8554e+17,Tue Apr 07 20:31:14 +0000 2015,fda accepts novo nordisk resubmitted application insulin drug
5.85538e+17,Tue Apr 07 20:22:00 +0000 2015,diabetes
5.8551e+17,Tue Apr 07 18:29:37 +0000 2015,erectile dysfunction drug vary effectiveness
5.85494e+17,Tue Apr 07 17:28:36 +0000 2015,sierra leone say kailahun ebola case report mistaken
5.85475e+17,Tue Apr 07 16:09:54 +0000 2015,unrelated next kin may lead legal confusion
5.85467e+17,Tue Apr 07 15:38:24 +0000 2015,hospira get fda warning letter italian facility
5.85453e+17,Tue Apr 07 14:42:15 +0000 2015,u fda staff swedish match snus proposal raise question
5.85453e+17,Tue Apr 07 14:42:15 +0000 2015,u ebola patient condition improves good nih
5.85434e+17,Tue Apr 07 13:29:50 +0000 2015,acacia rigidula supplement still containing stimulant found market
5.85414e+17,Tue Apr 07 12:11:02 +0000 2015,robotic glove could help stroke survivor
5.8524e+17,Tue Apr 07 00:37:32 +0000 2015,sterilization threat darkens europe transgender quest identity
5.8524e+17,Tue Apr 07 00:37:31 +0000 2015,bird flu confirmed turkey farm woodstock
5.85209e+17,Mon Apr 06 22:35:56 +0000 2015,elderly
5.85193e+17,Mon Apr 06 21:30:41 +0000 2015,jenny craig
5.85193e+17,Mon Apr 06 21:30:41 +0000 2015,physical therapy may good surgery common back problem
5.85189e+17,Mon Apr 06 21:14:56 +0000 2015,u regulator say 2016 payment medicare advantage rise
5.85156e+17,Mon Apr 06 19:02:00 +0000 2015,state ask u congress launch inquiry herbal supplement
5.85135e+17,Mon Apr 06 17:38:40 +0000 2015,breast milk sold online may contain cow milk
5.85128e+17,Mon Apr 06 17:13:56 +0000 2015,remove financial barrier organ donation
5.85124e+17,Mon Apr 06 16:58:05 +0000 2015,minnesota find two turkey flock infected lethal bird flu
5.8511e+17,Mon Apr 06 16:01:59 +0000 2015,le recommended physical activity may still lengthen life
5.85078e+17,Mon Apr 06 13:53:54 +0000 2015,bristol myers buy dutch gene therapy company uniqure
5.85024e+17,Mon Apr 06 10:17:27 +0000 2015,two syrian die h1n1 swine flu
5.8502e+17,Mon Apr 06 10:01:42 +0000 2015,dreamed diabetes technology used medtronic insulin pump
